[  840.882581] tgid, 1870, delta_vrun, 9913, delta_rrun, 92436, prio, 110
[  840.910074] tgid, 1870, delta_vrun, 40193, delta_rrun, 374770, prio, 110
[  841.001689] tgid, 1870, delta_vrun, 4834, delta_rrun, 45076, prio, 110
[  841.192257] tgid, 1870, delta_vrun, 31922, delta_rrun, 297650, prio, 110
[  841.393539] tgid, 1870, delta_vrun, 292, delta_rrun, 2729, prio, 110
[  841.561673] tgid, 1870, delta_vrun, 696, delta_rrun, 6494, prio, 110
[  841.596239] tgid, 1870, delta_vrun, 81021, delta_rrun, 755466, prio, 110
[  841.996805] tgid, 1870, delta_vrun, 269104, delta_rrun, 2509185, prio, 110
[  842.262474] tgid, 1870, delta_vrun, 57827, delta_rrun, 539198, prio, 110
[  842.337111] tgid, 1870, delta_vrun, 20811, delta_rrun, 194049, prio, 110
[  842.423683] tgid, 1870, delta_vrun, 442, delta_rrun, 4124, prio, 110
[  842.436170] tgid, 1870, delta_vrun, 161, delta_rrun, 1509, prio, 110
[  842.556860] tgid, 1870, delta_vrun, 4717, delta_rrun, 43990, prio, 110
[  842.957040] tgid, 1870, delta_vrun, 24611, delta_rrun, 229480, prio, 110
[  842.980360] tgid, 1870, delta_vrun, 17602, delta_rrun, 164127, prio, 110
[  843.059969] tgid, 1870, delta_vrun, 224, delta_rrun, 2092, prio, 110
[  843.387870] tgid, 1870, delta_vrun, 149, delta_rrun, 1394, prio, 110
[  843.534229] tgid, 1870, delta_vrun, 11734, delta_rrun, 109414, prio, 110
[  843.603501] tgid, 1870, delta_vrun, 16425, delta_rrun, 153156, prio, 110
[  843.820676] tgid, 1870, delta_vrun, 9727, delta_rrun, 90703, prio, 110
[  843.833467] tgid, 1870, delta_vrun, 133207, delta_rrun, 1242052, prio, 110
[  844.216056] tgid, 1870, delta_vrun, 35402, delta_rrun, 330102, prio, 110
[  844.286955] tgid, 1870, delta_vrun, 71, delta_rrun, 671, prio, 110
[  844.320019] tgid, 1870, delta_vrun, 13771, delta_rrun, 128409, prio, 110
[  844.387826] tgid, 1870, delta_vrun, 246, delta_rrun, 2302, prio, 110
[  844.462783] tgid, 1870, delta_vrun, 63140, delta_rrun, 588736, prio, 110
[  844.824447] tgid, 1870, delta_vrun, 16050, delta_rrun, 149658, prio, 110
[  844.993969] tgid, 1870, delta_vrun, 5495, delta_rrun, 51240, prio, 110
[  845.025669] tgid, 1870, delta_vrun, 222, delta_rrun, 2071, prio, 110
[  845.211641] tgid, 1870, delta_vrun, 264, delta_rrun, 2470, prio, 110
[  845.285147] tgid, 1870, delta_vrun, 593, delta_rrun, 5531, prio, 110
[  845.523463] tgid, 1870, delta_vrun, 153, delta_rrun, 1427, prio, 110
[  845.648909] tgid, 1870, delta_vrun, 65834, delta_rrun, 613853, prio, 110
[  845.689933] tgid, 1870, delta_vrun, 96671, delta_rrun, 901382, prio, 110
[  845.723657] tgid, 1870, delta_vrun, 488, delta_rrun, 4556, prio, 110
[  845.723661] tgid, 1870, delta_vrun, 608, delta_rrun, 5670, prio, 110
[  845.980739] tgid, 1870, delta_vrun, 26434, delta_rrun, 246484, prio, 110
[  846.217557] tgid, 1870, delta_vrun, 48787, delta_rrun, 454902, prio, 110
[  846.716324] tgid, 1870, delta_vrun, 34229, delta_rrun, 319163, prio, 110
[  846.733885] tgid, 1870, delta_vrun, 26343, delta_rrun, 245632, prio, 110
