[  357.174546] tgid, 1940, delta_vrun, 99392, delta_rrun, 99392, prio, 120
[  357.673371] tgid, 1940, delta_vrun, 69026, delta_rrun, 69026, prio, 120
[  357.683630] tgid, 1940, delta_vrun, 8930, delta_rrun, 8930, prio, 120
[  357.778751] tgid, 1940, delta_vrun, 143581, delta_rrun, 144913, prio, 120
[  358.928574] tgid, 1940, delta_vrun, 77902, delta_rrun, 77902, prio, 120
[  359.108882] tgid, 1940, delta_vrun, 16739, delta_rrun, 16739, prio, 120
[  359.621778] tgid, 1940, delta_vrun, 1293, delta_rrun, 1293, prio, 120
[  360.282309] tgid, 1940, delta_vrun, 6312, delta_rrun, 17433, prio, 120
[  360.908496] tgid, 1940, delta_vrun, 7361, delta_rrun, 36092, prio, 120
[  361.343091] tgid, 1940, delta_vrun, 179710, delta_rrun, 179710, prio, 120
[  361.463074] tgid, 1940, delta_vrun, 2732, delta_rrun, 2732, prio, 120
[  362.059429] tgid, 1940, delta_vrun, 193076, delta_rrun, 193076, prio, 120
[  362.322412] tgid, 1940, delta_vrun, 205209, delta_rrun, 206349, prio, 120
[  362.625880] tgid, 1940, delta_vrun, 19003, delta_rrun, 19591, prio, 120
[  362.667256] tgid, 1940, delta_vrun, 14290, delta_rrun, 14290, prio, 120
[  362.976427] tgid, 1940, delta_vrun, 123260, delta_rrun, 123260, prio, 120
[  362.997566] tgid, 1940, delta_vrun, 28971, delta_rrun, 924417, prio, 120
[  363.124575] tgid, 1940, delta_vrun, 11148, delta_rrun, 11148, prio, 120
[  363.287074] tgid, 1940, delta_vrun, 58346, delta_rrun, 58346, prio, 120
[  363.984544] tgid, 1940, delta_vrun, 3156, delta_rrun, 11949, prio, 120
[  364.078255] tgid, 1940, delta_vrun, 104471, delta_rrun, 456949, prio, 120
[  364.285553] tgid, 1940, delta_vrun, 9696, delta_rrun, 9696, prio, 120
[  366.352132] tgid, 1940, delta_vrun, 29624, delta_rrun, 29624, prio, 120
[  366.606430] tgid, 1940, delta_vrun, 15353, delta_rrun, 1206912, prio, 89
[  366.664515] tgid, 1940, delta_vrun, 5544, delta_rrun, 5544, prio, 120
[  366.750965] tgid, 1940, delta_vrun, 21247, delta_rrun, 21247, prio, 120
[  366.790426] tgid, 1940, delta_vrun, 1424, delta_rrun, 1424, prio, 120
[  366.889917] tgid, 1940, delta_vrun, 84404, delta_rrun, 84404, prio, 120
[  367.582235] tgid, 1940, delta_vrun, 82193, delta_rrun, 82193, prio, 120
[  368.360370] tgid, 1940, delta_vrun, 5909, delta_rrun, 5909, prio, 120
[  368.489093] tgid, 1940, delta_vrun, 4715, delta_rrun, 4715, prio, 120
[  368.552453] tgid, 1940, delta_vrun, 5082, delta_rrun, 5082, prio, 120
[  368.565345] tgid, 1940, delta_vrun, 21187, delta_rrun, 21187, prio, 120
[  368.803391] tgid, 1940, delta_vrun, 41752, delta_rrun, 523598, prio, 120
[  369.080893] tgid, 1940, delta_vrun, 21826, delta_rrun, 21826, prio, 120
[  369.093013] tgid, 1940, delta_vrun, 172510, delta_rrun, 172510, prio, 120
[  369.733921] tgid, 1940, delta_vrun, 147919, delta_rrun, 147919, prio, 120
[  370.189845] tgid, 1940, delta_vrun, 134877, delta_rrun, 134877, prio, 120
[  370.642040] tgid, 1940, delta_vrun, 6516, delta_rrun, 6516, prio, 120
[  371.615418] tgid, 1940, delta_vrun, 105241, delta_rrun, 105241, prio, 120
[  371.918351] tgid, 1940, delta_vrun, 16460, delta_rrun, 16460, prio, 120
[  371.923467] tgid, 1940, delta_vrun, 10368, delta_rrun, 10368, prio, 120
[  371.959395] tgid, 1940, delta_vrun, 98950, delta_rrun, 100246, prio, 120
[  372.640970] tgid, 1940, delta_vrun, 120338, delta_rrun, 121776, prio, 120
[  372.652686] tgid, 1940, delta_vrun, 77716, delta_rrun, 77716, prio, 120
