[ 3447.675250] tgid, 4418, delta_vrun, 262894, delta_rrun, 3851, prio, 139
[ 3447.755926] tgid, 4418, delta_vrun, 6366481, delta_rrun, 864479, prio, 139
[ 3448.245321] tgid, 4418, delta_vrun, 314619, delta_rrun, 216827, prio, 130
[ 3448.271949] tgid, 4418, delta_vrun, 167498, delta_rrun, 17993, prio, 130
[ 3448.293511] tgid, 4418, delta_vrun, 35514, delta_rrun, 2016408, prio, 130
[ 3448.808708] tgid, 4418, delta_vrun, 59094, delta_rrun, 6348, prio, 130
[ 3449.209309] tgid, 4418, delta_vrun, 37087, delta_rrun, 138205, prio, 130
[ 3449.713248] tgid, 4418, delta_vrun, 24818, delta_rrun, 591315, prio, 130
[ 3449.715619] tgid, 4418, delta_vrun, 1087562, delta_rrun, 1357349, prio, 130
[ 3449.832464] tgid, 4418, delta_vrun, 2157567, delta_rrun, 34327, prio, 139
[ 3450.180423] tgid, 4418, delta_vrun, 189508, delta_rrun, 2776, prio, 139
[ 3450.407306] tgid, 4418, delta_vrun, 2234442, delta_rrun, 240028, prio, 130
[ 3450.517686] tgid, 4418, delta_vrun, 198587, delta_rrun, 3349, prio, 139
[ 3450.801437] tgid, 4418, delta_vrun, 486753, delta_rrun, 1359238, prio, 130
[ 3450.959453] tgid, 4418, delta_vrun, 1039899, delta_rrun, 111708, prio, 130
[ 3451.052277] tgid, 4418, delta_vrun, 977501, delta_rrun, 105005, prio, 130
[ 3451.222258] tgid, 4418, delta_vrun, 29472, delta_rrun, 131736, prio, 130
[ 3451.254439] tgid, 4418, delta_vrun, 1021439, delta_rrun, 109725, prio, 130
[ 3451.272174] tgid, 4418, delta_vrun, 222890, delta_rrun, 3265, prio, 139
[ 3451.310798] tgid, 4418, delta_vrun, 1010902, delta_rrun, 108593, prio, 130
[ 3451.681735] tgid, 4418, delta_vrun, 109763, delta_rrun, 177447, prio, 130
[ 3451.771096] tgid, 4418, delta_vrun, 26102, delta_rrun, 700663, prio, 130
[ 3451.936701] tgid, 4418, delta_vrun, 1431291, delta_rrun, 153752, prio, 130
[ 3452.026475] tgid, 4418, delta_vrun, 77991, delta_rrun, 161962, prio, 130
[ 3452.063544] tgid, 4418, delta_vrun, 4900137, delta_rrun, 1064513, prio, 130
[ 3452.076275] tgid, 4418, delta_vrun, 13572, delta_rrun, 156177, prio, 130
[ 3452.298565] tgid, 4418, delta_vrun, 5036, delta_rrun, 6515, prio, 130
[ 3452.462313] tgid, 4418, delta_vrun, 31408, delta_rrun, 127721, prio, 130
[ 3452.502000] tgid, 4418, delta_vrun, 17687, delta_rrun, 510548, prio, 130
[ 3452.939704] tgid, 4418, delta_vrun, 6025765, delta_rrun, 669023, prio, 130
[ 3453.102916] tgid, 4418, delta_vrun, 4222743, delta_rrun, 453615, prio, 130
[ 3453.136197] tgid, 4418, delta_vrun, 2530294, delta_rrun, 506742, prio, 130
[ 3453.616784] tgid, 4418, delta_vrun, 3869398, delta_rrun, 415658, prio, 130
[ 3453.804277] tgid, 4418, delta_vrun, 16337, delta_rrun, 1755, prio, 130
[ 3453.989021] tgid, 4418, delta_vrun, 721007, delta_rrun, 78807, prio, 130
[ 3454.041409] tgid, 4418, delta_vrun, 1164064, delta_rrun, 126239, prio, 130
